date,title,category,url,views,row_no
2026-04-21,"중복 상장, 쪼개기 상장 원칙적으로 금지된다",경제/금융/투자,https://www.youtube.com/watch?v=rdtfqfSPmu0,228134,2
2026-04-20,"SK하이닉스 성과급, 얼마나 나올까?",경제/금융/투자,https://www.youtube.com/watch?v=iaC6mXFeCEE,129085,3
2026-04-18,중국 돼지고기 가격 폭락의 비밀,국제정세/전쟁,https://www.youtube.com/watch?v=3GJDaEmhq-M,505553,4
2026-04-17,새만금 사업의 부활은 가능할 것인가,경제/금융/투자,https://www.youtube.com/watch?v=KXnaKXMAiyc,269340,5
2026-04-16,"주 5회 10년, 딸깍으로 PPT 만드는 법",경제/금융/투자,https://www.youtube.com/watch?v=iPIDN70Njg8,206498,6
2026-04-15,스페이스X의 시가총액은 얼마가 적절할까?,산업/기업/기술,https://www.youtube.com/watch?v=FP_zaF6QJdw,456693,7
2026-04-14,"야근한 만큼 돈 줘라', 포괄임금 오남용방지 지침 발표",산업/기업/기술,https://www.youtube.com/watch?v=bhsdookyQm0,560484,8
2026-04-13,왔노라 보았노라 이겼노라 - 트럼프,국제정세/전쟁,https://www.youtube.com/watch?v=WPkQYdXbqHw,413225,9
2026-04-10,ABS 도입 후 대박 난 한국 프로야구,사회/정책,https://www.youtube.com/watch?v=NPL-NrvvK_w,345661,10
2026-04-09,"급락하는 지지율에, 다급한 트럼프 손절",국제정세/전쟁,https://www.youtube.com/watch?v=4DQ4pVkjt10,597863,11
2026-04-08,봄이 사라지고 있다,국제정세/전쟁,https://www.youtube.com/watch?v=RCPEmVlmnNE,302065,12
2026-04-07,찐찐찐막 최종 시한을 제시한 트럼프,국제정세/전쟁,https://www.youtube.com/watch?v=TXwueM2hkmA,579635,13
2026-04-06,"40조? 50조? 삼성전자 1분기 실적, 얼마나 나올까?",경제/금융/투자,https://www.youtube.com/watch?v=sGzu9Mdczfo,342812,14
2026-04-04,"""이제 남은 길은 주식 한방 뿐""",경제/금융/투자,https://www.youtube.com/watch?v=hUx5XifMZ7w,870460,15
2026-04-03,"성동구 공시가격 +29%, 전국 1등 달성",경제/금융/투자,https://www.youtube.com/watch?v=9RYpCIboM_w,323486,16
2026-04-02,넷플릭스 '쩐의 전쟁'을 시작한다.,산업/기업/기술,https://www.youtube.com/watch?v=DvNfk57ABlo,408890,17
2026-04-01,주식 시장을 충격에 빠트린 '터보 퀀트'는 무엇인가,경제/금융/투자,https://www.youtube.com/watch?v=nMjBFs6Uoc8,465270,18
2026-03-31,"원유 비상, 긴급 대응에 들어간 대한민국",과학/환경/에너지,https://www.youtube.com/watch?v=xc6znHjNFOI,725851,19
2026-03-30,누구냐 넌,국제정세/전쟁,https://www.youtube.com/watch?v=iOWp54DugGI,624633,20
2026-03-28,나이드는 것이 싫다'는 미국인들,경제/금융/투자,https://www.youtube.com/watch?v=pBxD9XeokKs,405006,21
2026-03-27,?? : 한국아 남는 원유 좀 없냐?,국제정세/전쟁,https://www.youtube.com/watch?v=OiLBwQMlAMY,679095,22
2026-03-26,지금은 어떤 투자를 해야 하는가,경제/금융/투자,https://www.youtube.com/watch?v=rt-RI-uQeGg,681370,23
2026-03-25,이란 전쟁으로 내야 하는 비용들,국제정세/전쟁,https://www.youtube.com/watch?v=PoDkAgkNOEo,687994,24
2026-03-24,수 조원이 움직인다. BTS 경제학,과학/환경/에너지,https://www.youtube.com/watch?v=Ll0oAYdzDAk,190372,25
2026-03-23,"""48시간이 지나면, 이란 발전소를 초토화 시킬 것""",국제정세/전쟁,https://www.youtube.com/watch?v=wkpWWAypwDM,648043,26
2026-03-20,영국은 누가 소유하는가,기타/일반,https://www.youtube.com/watch?v=R0k8Gx9plVk,630820,27
2026-03-19,미국 '무역법 301조'로 한국 조사 개시,경제/금융/투자,https://www.youtube.com/watch?v=qheU0XuUp_Q,556367,28
2026-03-18,선거에서 지지 않는 묘수를 찾은 트럼프,국제정세/전쟁,https://www.youtube.com/watch?v=GBUA74kDDiM,519154,29
2026-03-17,소프트웨어 기업의 종말을 선언한 머스크,산업/기업/기술,https://www.youtube.com/watch?v=nknhM8UfdXs,680394,30
2026-03-16,"오일 쇼크'' 오나, 장기화되는 호르무즈 해협 봉쇄",국제정세/전쟁,https://www.youtube.com/watch?v=kypxq0L0jS8,904228,31
2026-03-14,"국내 염소 고기 판매량 급증, 왜?",사회/정책,https://www.youtube.com/watch?v=wM3UHmC64SI,357606,32
2026-03-13,"""나는 억울하다"", 빌 클린턴의 엡스타인 증언",국제정세/전쟁,https://www.youtube.com/watch?v=dZ-LOSapQdI,430975,33
2026-03-12,난이도 조절에 실패했다는 2026 수능 영어,산업/기업/기술,https://www.youtube.com/watch?v=TSkc41ghrlU,308881,34
2026-03-11,온 세상이 담합이다,사건/범죄/재난,https://www.youtube.com/watch?v=__f_xW-9KMI,469460,35
2026-03-10,이란 전쟁은 언제 끝날 것인가,국제정세/전쟁,https://www.youtube.com/watch?v=by5EGhYFuH4,1056191,36
2026-03-09,"주식 빚투, 역대 최대 35조원 돌파",국제정세/전쟁,https://www.youtube.com/watch?v=79Cbosh15kI,649491,37
2026-03-07,"앤트로픽 : ""우리는 양심상 미 국방부의 요구에 응할 수 없다.""",국제정세/전쟁,https://www.youtube.com/watch?v=LV_bXDXqGkM,598218,38
2026-03-06,다시 시작된 멕시코 카르텔과의 전쟁,국제정세/전쟁,https://www.youtube.com/watch?v=ZurCPzYc3Mo,562292,39
2026-03-05,우리도 AI 기업들을 가져야 한다.,경제/금융/투자,https://www.youtube.com/watch?v=ydiBafDaUY4,293756,40
2026-03-04,출산율은 어떻게 반등할 수 있었을까?,산업/기업/기술,https://www.youtube.com/watch?v=HEo4jhY2i8o,443409,41
2026-03-03,나스닥을 뒤흔든 어느 시나리오 보고서,국제정세/전쟁,https://www.youtube.com/watch?v=JBv4eEdlXTo,932059,42
2026-03-02,미국-이란 계획된 전쟁,국제정세/전쟁,https://www.youtube.com/watch?v=FAmYKNI3vGc,1706087,43
2026-02-27,무제한 요금제'가 영화관을 살릴 수 있을까?,경제/금융/투자,https://www.youtube.com/watch?v=4QlLhzLfhzU,389552,44
2026-02-26,"너도 나도 핵무장', 고삐 풀린 핵무기의 시대",국제정세/전쟁,https://www.youtube.com/watch?v=wPKfa2qWh4U,541355,45
2026-02-25,기록을 위해 확대 주사를 맞았다는 루머는 어디서 왔나,사건/범죄/재난,https://www.youtube.com/watch?v=g19QLu5tZlo,349319,46
2026-02-24,삼성전자 사야 돼요?,경제/금융/투자,https://www.youtube.com/watch?v=ksA4IT452_4,676032,47
2026-02-23,"3,500억 달러 관세 합의는 어떻게 되나?",경제/금융/투자,https://www.youtube.com/watch?v=6WewapLJ3iw,583563,48
2026-02-20,"편지 발송량 90% 감소, 우편 배달을 종료한 나라",국제정세/전쟁,https://www.youtube.com/watch?v=dX0th6CDAA0,312716,49
2026-02-19,해외 이주를 희망하는 미국인들이 늘고 있다.,국제정세/전쟁,https://www.youtube.com/watch?v=kLUCewfXTis,460947,50
2026-02-18,위기에 빠진 피자 시장,국제정세/전쟁,https://www.youtube.com/watch?v=jPzWQ_zmsRE,695633,51
2026-02-17,"저출산, 저성장, 태국에는 무슨 일이?",사회/정책,https://www.youtube.com/watch?v=Rs6QP4LQsqU,758159,52
2026-02-16,이제 근로소득으로는 부자가 될 수 없나,사회/정책,https://www.youtube.com/watch?v=7tShht4Ym_Q,1005066,53
2026-02-14,"미 하원 쿠팡 조사, 관세 인상과 관계가 있다고?",기타/일반,https://www.youtube.com/watch?v=CL3S1NgMSMc,226488,54
2026-02-12,스트래티지는 어떻게 비트코인을 계속 살 수 있을까?,경제/금융/투자,https://www.youtube.com/watch?v=nm5zQxZSkbk,681027,55
2026-02-11,"연초 이후 +24%, 코스피는 왜 강한가",경제/금융/투자,https://www.youtube.com/watch?v=XveVkr3JHs4,369859,56
2026-02-10,"걸려도 남는 장사, 반복되는 담합",사건/범죄/재난,https://www.youtube.com/watch?v=s3kI36lq3LQ,570056,57
2026-02-09,"단독 개헌 의석 확보, 일본은 어디로 가는가",경제/금융/투자,https://www.youtube.com/watch?v=oDXALlFmSPs,464304,58
2026-02-07,굶는 아이가 늘어난다는 대영제국의 오늘,사회/정책,https://www.youtube.com/watch?v=peAO89tmZUs,817986,59
2026-02-06,"또 자국민을 사살한 ICE, 분노하는 미국",국제정세/전쟁,https://www.youtube.com/watch?v=hxATt4Z7pBY,529173,60
2026-02-04,"수도권 주택 6만호 신속 공급 발표 / 1,000스닥 시대",경제/금융/투자,https://www.youtube.com/watch?v=GA1ESy2ET4I,289162,61
2026-02-03,"케빈 워시 쇼크', 매파인가 비둘기파인가",경제/금융/투자,https://www.youtube.com/watch?v=pzLjMErLUcQ,570037,62
2026-02-02,슈카의 변(辨),채널/인터뷰/특집,https://www.youtube.com/watch?v=jEYDuOpl114,691281,63
2026-01-31,민주주의는 '슈퍼 리치'들이 지배하는가,산업/기업/기술,https://www.youtube.com/watch?v=49uPkLwQ-b0,433855,64
2026-01-30,천조국은 가라. 2천조국이 온다.,경제/금융/투자,https://www.youtube.com/watch?v=vRMlkpQnLlU,395156,65
2026-01-29,총상금 7.8억 원. 모두의 아이디어를 찾아라,산업/기업/기술,https://www.youtube.com/watch?v=d8e27uNV0jk,208436,66
2026-01-28,"두쫀쿠 vs 허니버터칩, 누가 더 열풍일까?",국제정세/전쟁,https://www.youtube.com/watch?v=rmTeEg75dJc,360327,67
2026-01-27,"트럼프 : ""그린란드는 원래 미국 땅이었습니다.""",국제정세/전쟁,https://www.youtube.com/watch?v=5qvF6WHOxaQ,630882,68
2026-01-26,"삼성전자 시총 1,000조 돌파, 코스피 불꽃 상승",경제/금융/투자,https://www.youtube.com/watch?v=N7xO-UWCM5w,365551,69
2026-01-23,19금 AI 어디까지 허용할 수 있을까,산업/기업/기술,https://www.youtube.com/watch?v=lC43uZyMF6A,306705,70
2026-01-22,"""약탈 문화재, 이제는 내놔라""",역사/인물,https://www.youtube.com/watch?v=L1CUwD_MYo0,427226,71
2026-01-21,"""중간선거 패배시, 나는 탄핵 당할 것이다.""",국제정세/전쟁,https://www.youtube.com/watch?v=c95e3l0tXr8,725548,72
2026-01-20,마두로 생포로 떼돈을 번 사람들,사회/정책,https://www.youtube.com/watch?v=gWW88qhL4go,437556,73
2026-01-19,"코스피 4,904 ! 뜨거운 아시아 주식 시장",경제/금융/투자,https://www.youtube.com/watch?v=Kh7KGYLWLOE,449937,74
2026-01-16,일론 머스크가 바라보는 미래,산업/기업/기술,https://www.youtube.com/watch?v=-sO0xm1qcv0,697081,75
2026-01-15,"2026년, 경제정책 무엇이 바뀌나",경제/금융/투자,https://www.youtube.com/watch?v=EltZT8d2JDw,850806,76
2026-01-14,"로봇으로 승부하자, 2배 오른 현대차",산업/기업/기술,https://www.youtube.com/watch?v=h0oNg-vTHiU,534169,77
2026-01-13,ICE 총격에 반으로 갈라진 미국,국제정세/전쟁,https://www.youtube.com/watch?v=hoGnku-TvyY,608877,78
2026-01-12,국제법은 필요 없다. 국가의 힘이 전부다.,국제정세/전쟁,https://www.youtube.com/watch?v=1C6uiaCIBmQ,962341,79
2026-01-09,비만은 약으로 해결되는가,국제정세/전쟁,https://www.youtube.com/watch?v=ulsca8ME4ss,517335,80
2026-01-08,최대 위기에 봉착한 이란 하메네이 정권,경제/금융/투자,https://www.youtube.com/watch?v=2zuLQ-WZPXI,847780,81
2026-01-07,"관세 위헌 판결되면, 관세 돌려받나요?",국제정세/전쟁,https://www.youtube.com/watch?v=86umvmhehvk,479325,82
2026-01-06,"삼성전자, SK하이닉스. 어디까지 올라갈까",산업/기업/기술,https://www.youtube.com/watch?v=xroxYuHCZBw,409985,83
2026-01-05,"""미국이 베네수엘라를 통치할 것""",국제정세/전쟁,https://www.youtube.com/watch?v=lj8Yc_Olp8U,887398,84
2026-01-03,트럼프의 야심찬 '황금 함대' 프로젝트,국제정세/전쟁,https://www.youtube.com/watch?v=e-Fi76pBfqk,501265,85
2026-01-02,"""이제는 말이 아닌 행동으로 대응할 것""",경제/금융/투자,https://www.youtube.com/watch?v=WcA0rbOKf50,504549,86
2026-01-01,"2025년 주식, 부동산, 가장 큰 특징은 무엇이었나",경제/금융/투자,https://www.youtube.com/watch?v=c3GjteLdSQQ,366483,87
2025-12-31,"유튜브 CEO 에게 물었다. ""압도적 1황의 비결은 뭔가요?""",산업/기업/기술,https://www.youtube.com/watch?v=mVxadj_foeU,301320,88
2025-12-30,실손 의료보험료(실비보험) 어디까지 올라가나?,산업/기업/기술,https://www.youtube.com/watch?v=iuNgr6Xqofk,339082,89
2025-12-29,"표현의 자유냐, 허위 조작정보 근절이냐",사회/정책,https://www.youtube.com/watch?v=BrZOleL7C-g,446907,90
2025-12-27,술 마시지 않는 사회,국제정세/전쟁,https://www.youtube.com/watch?v=AZLcu54_emA,1038426,91
2025-12-26,기존 외교 공식을 뒤바꾼 트럼프식 '꽌시 정치',국제정세/전쟁,https://www.youtube.com/watch?v=R33N1yQjS2c,551156,92
2025-12-25,내연기관 자동차 시대가 다시 오는가,산업/기업/기술,https://www.youtube.com/watch?v=gUiEpq3rxVg,1042677,93
2025-12-24,꾸준하게 하락하는 한중일 영어실력,산업/기업/기술,https://www.youtube.com/watch?v=O0hbh6tIGl8,382753,94
2025-12-23,월급 떼어먹히지 않는 방법,사회/정책,https://www.youtube.com/watch?v=Cgh1MJ1mpO8,178053,95
2025-12-23,국가의 전통을 바꾼 크리스마스 마케팅의 신,국제정세/전쟁,https://www.youtube.com/watch?v=4tEPLT729yM,381798,96
2025-12-22,83~95년생의 삶을 추적해봤습니다.,사회/정책,https://www.youtube.com/watch?v=iwAB8X_TEaE,1223825,97
2025-12-20,고의로 화나게 만들면 조회수가 된다.,산업/기업/기술,https://www.youtube.com/watch?v=YioM9cE66BE,338433,98
2025-12-19,"영화관까지 삼키는 넷플릭스, 떨고 있는 영화계",문화/콘텐츠/생활,https://www.youtube.com/watch?v=jkL7DjPchRo,608434,99
2025-12-18,반도체 다음 먹거리는 무엇인가,산업/기업/기술,https://www.youtube.com/watch?v=85LZFq1fEiQ,350994,100
2025-12-17,"급등하는 금리, 흔들리는 환율",경제/금융/투자,https://www.youtube.com/watch?v=RA9KGvf5_eY,537938,101
2025-12-16,"도서팀 만든지 3년, 드디어 나온 책 한 권",역사/인물,https://www.youtube.com/watch?v=yfgkz0ESe44,328184,102
2025-12-15,민주주의 배달의 시대는 끝났다.,국제정세/전쟁,https://www.youtube.com/watch?v=n13jO8QY54I,696114,103
2025-12-13,엄마. 나 커서 유튜버 될래.,기타/일반,https://www.youtube.com/watch?v=-_K0jCMtfYw,292531,104
2025-12-12,10분 배송'을 성공시킨 유일한 국가,역사/인물,https://www.youtube.com/watch?v=Ckw2EZ_vXeY,747298,105
2025-12-11,"평균 소득 7,427만원에 공감하기 어려운 이유",경제/금융/투자,https://www.youtube.com/watch?v=6FuD_U-HVWw,873779,106
2025-12-10,구글 주가는 왜 떡상했나,산업/기업/기술,https://www.youtube.com/watch?v=SzkkLnnJA-s,420346,107
2025-12-09,"실업률은 2.2%인데, 실업급여는 역대 최대",기타/일반,https://www.youtube.com/watch?v=kU0x51WBiBg,483436,108
2025-12-08,한국이 우습나?,국제정세/전쟁,https://www.youtube.com/watch?v=-XzJeUKeawQ,679948,109
2025-12-06,"3차 상법 개정, 자사주 의무 소각 법안 발의",경제/금융/투자,https://www.youtube.com/watch?v=E_Eyl3g4w2g,377305,110
2025-12-05,"홍콩 대화재 참사, 슬픔과 분노에 찬 홍콩",사회/정책,https://www.youtube.com/watch?v=qGJGDmvYziM,505340,111
2025-12-04,"연말정산, 세금을 줄여보자",경제/금융/투자,https://www.youtube.com/watch?v=gROGVJthxM8,520323,112
2025-12-03,"어느덧 만 4년, 우크라이나는 휴전안을 받아들여야 할까?",국제정세/전쟁,https://www.youtube.com/watch?v=f--LNfbnipw,790501,113
2025-12-02,누리호 과학위성 맞습니다.,과학/환경/에너지,https://www.youtube.com/watch?v=NlCMQpsCwvQ,440661,114
2025-12-01,"환율이 오르니, 보이는 것들",경제/금융/투자,https://www.youtube.com/watch?v=mSyXXvkDgBc,877713,115
2025-11-29,"멕시코 시장 1년간 9명 사망, 아보카도 전쟁",국제정세/전쟁,https://www.youtube.com/watch?v=0dSIgvN4RDg,493428,116
2025-11-28,인공 강우는 구름을 훔치는 것인가?,국제정세/전쟁,https://www.youtube.com/watch?v=ltVallz4tcw,506214,117
2025-11-27,다음 달에 준다니까~,사회/정책,https://www.youtube.com/watch?v=EnPVj814Mp0,537864,118
2025-11-26,"신입 채용 역대 최소 기록, 사라지는 일자리",산업/기업/기술,https://www.youtube.com/watch?v=gdfRFs0yMco,568898,119
2025-11-25,"경제보복 시작한 중국, 말로 하자는 일본",국제정세/전쟁,https://www.youtube.com/watch?v=XjqceVxJyDA,813944,120
2025-11-24,"환율 1,479원, 달러가 부족하다.",경제/금융/투자,https://www.youtube.com/watch?v=IpbTWhvocpY,569807,121
2025-11-22,"세계 100대 침입종, 유럽의 재앙 K-참게",국제정세/전쟁,https://www.youtube.com/watch?v=REWwWEJmSBE,907358,122
2025-11-21,"미국 정치 핵폭탄, 앱스타인 파일 공개 임박",국제정세/전쟁,https://www.youtube.com/watch?v=SS_HsC-9_QU,989586,123
2025-11-20,3기 신도시 인기지역은 어디?,역사/인물,https://www.youtube.com/watch?v=IFGm7Wdp7-Y,497392,124
2025-11-19,"따면 내꺼, 잃으면 니꺼",사건/범죄/재난,https://www.youtube.com/watch?v=uejgOvsiQnQ,684852,125
2025-11-18,"본격적인 중국의 경제 보복 시작, 과연 일본은 굽힐 것인가",국제정세/전쟁,https://www.youtube.com/watch?v=Kiggf4momYk,677349,126
2025-11-17,따서 갚으면 되잖아,경제/금융/투자,https://www.youtube.com/watch?v=TmP-gqhJlMM,623061,127
2025-11-14,살인곰 잡으러 자위대가 출동한 일본,사회/정책,https://www.youtube.com/watch?v=tiF-dbDJHLM,840282,128
2025-11-13,정당 지지율 역대 최저를 기록한 미국,국제정세/전쟁,https://www.youtube.com/watch?v=HlWry2GkVIE,761570,129
2025-11-11,N수생 포함 '초고난도 경쟁'이 예상되는 2026 수능,경제/금융/투자,https://www.youtube.com/watch?v=KJx6BF0f8A4,333042,130
2025-11-10,"롤러코스터 탄 코스피, 5,000이냐 3,000이냐",경제/금융/투자,https://www.youtube.com/watch?v=mfe-J54ZIek,367181,131
2025-11-07,"프랑스 총리, 연금개혁 중단 선언",경제/금융/투자,https://www.youtube.com/watch?v=lh_SMQ0PHNM,489700,132
2025-11-06,하루에 축제가 3개! 대박난 김천 김밥축제,사회/정책,https://www.youtube.com/watch?v=itJFtBHt-QQ,334670,133
2025-11-05,"맘다니 당선, ""뉴욕은 앞으로 이민자들의 도시가 될 것""",사회/정책,https://www.youtube.com/watch?v=6eTo6zEfyuo,640772,134
2025-11-04,보법이 다른 대한민국의 '왕관 선물' 전략,국제정세/전쟁,https://www.youtube.com/watch?v=AHqUgf3rgrc,916514,135
2025-11-03,깐부치킨은 좋겠다.,산업/기업/기술,https://www.youtube.com/watch?v=P5hgUhinR3U,527761,136
2025-11-01,쥐는 왜 급증하는가? 쥐의 비밀,국제정세/전쟁,https://www.youtube.com/watch?v=r4aGQEUj9hE,603449,137
2025-10-31,영국은 주민등록증이 아직 없었어?,사회/정책,https://www.youtube.com/watch?v=RVfWZyee6FU,482120,138
2025-10-30,전 직장 상사가 내 부하직원이라고?,경제/금융/투자,https://www.youtube.com/watch?v=S-suFJVKth4,360764,139
2025-10-29,대한민국의 돈은 어디로 가는가,산업/기업/기술,https://www.youtube.com/watch?v=p5Maakcl9Ts,732331,140
2025-10-28,"사상 최대의 도난 사건, 루브르 박물관은 어떻게 털렸나",역사/인물,https://www.youtube.com/watch?v=PzBJ-RGsccY,723083,141
2025-10-27,남은 것은 코스피 5000?,경제/금융/투자,https://www.youtube.com/watch?v=PV-WAjKGcQA,422576,142
2025-10-24,청년들은 왜 원피스 깃발을 흔드는가,사회/정책,https://www.youtube.com/watch?v=Z0fyZJ3wRLE,644654,143
2025-10-23,수업 중 '스마트폰 사용 금지법' 전면 시행,사회/정책,https://www.youtube.com/watch?v=T1hpogpizF8,550603,144
2025-10-22,"트럼프 반년 만에, 두동강난 미국",산업/기업/기술,https://www.youtube.com/watch?v=J_7Xxxye-T8,902670,145
2025-10-21,주식보다 더 올랐다. 금에 무슨 일이 일어났나,경제/금융/투자,https://www.youtube.com/watch?v=FLpQuW0qnvw,551432,146
2025-10-20,강하다. 초강력 10.15 부동산 대책,경제/금융/투자,https://www.youtube.com/watch?v=NgH3PoMt5JA,733920,147
2025-10-17,초대형 AI 인프라 전쟁,산업/기업/기술,https://www.youtube.com/watch?v=jhjYFhG0kh4,544018,148
2025-10-16,10년 내 노인인구 50% 증가 예정,경제/금융/투자,https://www.youtube.com/watch?v=qEcexrE3PBE,516640,149
2025-10-15,"??? : ""이 노벨평화상을 트럼프 대통령께 바칩니다.""",산업/기업/기술,https://www.youtube.com/watch?v=M4JzvcS63QM,383811,150
2025-10-14,쏟아지는 캄보디아 납치신고,경제/금융/투자,https://www.youtube.com/watch?v=itYIREtsTUg,961214,151
2025-10-13,"트럼프 중국 100% 추가관세 발표, 무너진 코인 시장",산업/기업/기술,https://www.youtube.com/watch?v=QKLOgFcetiM,677417,152
2025-10-11,"NASA, 화성에서 생명체 흔적 발견했다.",과학/환경/에너지,https://www.youtube.com/watch?v=lxlcK-dx7n0,470635,153
2025-10-10,내부의 적과 싸우는 미국,국제정세/전쟁,https://www.youtube.com/watch?v=X86eHfwBU44,576858,154
2025-10-09,외부의 적과 싸우는 유럽,국제정세/전쟁,https://www.youtube.com/watch?v=icc3Ec2wpNk,482428,155
2025-10-08,10개의 서울대. 만들 수 있을것인가,산업/기업/기술,https://www.youtube.com/watch?v=fD6kud2fBxI,496159,156
2025-10-07,"여자아베, 극우로 평가받는 일본 차기 총리",경제/금융/투자,https://www.youtube.com/watch?v=4LvHNVDQizk,721598,157
2025-10-06,"삼성전자 90층 도착, 질주하는 코스피",경제/금융/투자,https://www.youtube.com/watch?v=c9sweNn4KNs,306482,158
2025-10-03,전세계를 놀라게한 트럼프의 '타이레놀 자폐증' 발표,사회/정책,https://www.youtube.com/watch?v=nXKgCeLI5jQ,366927,159
2025-10-02,"프랑스 총파업, 격해지는 세금 논쟁",경제/금융/투자,https://www.youtube.com/watch?v=_nupTQ70BTY,777833,160
2025-10-01,"세계화의 시대는 가고, 각자도생의 시대가 온다.",국제정세/전쟁,https://www.youtube.com/watch?v=-lZZ3IqefQc,558441,161
2025-09-30,카카오톡 15년 만에 대규모 개편,산업/기업/기술,https://www.youtube.com/watch?v=ROaGvX-IDMI,424510,162
2025-09-29,"3,500억 달러, 현금 지급 가능한가",경제/금융/투자,https://www.youtube.com/watch?v=7jY3ex0y7NY,636231,163
2025-09-27,구조조정하는 대한민국,사건/범죄/재난,https://www.youtube.com/watch?v=flEV35c4SSc,903717,164
2025-09-26,"이민자를 추방하라', 유럽에 부는 반이민 열풍",국제정세/전쟁,https://www.youtube.com/watch?v=utImgpthqoo,570212,165
2025-09-25,"폭주하는 반도체 시장, 달리는 코스피",경제/금융/투자,https://www.youtube.com/watch?v=W4vvxeohAGo,370009,166
2025-09-24,아니 또 털려? 해킹 맛집 대한민국,경제/금융/투자,https://www.youtube.com/watch?v=CkrsHNoiqNI,323964,167
2025-09-23,"미국 영주권 비자, 트럼프 골드 카드 출시",경제/금융/투자,https://www.youtube.com/watch?v=rPuCc801iQI,407597,168
2025-09-22,"적극 재정의 시대, 150조 원 국민성장펀드",경제/금융/투자,https://www.youtube.com/watch?v=RoZEKvCUtBE,460403,169
2025-09-19,"정치인 자녀에 분노한, 네팔 Z세대 반정부 시위",기타/일반,https://www.youtube.com/watch?v=UERhvV9AGnI,760988,170
2025-09-18,"서울, 수도권에 135만 호 주택을 건설하겠다.",경제/금융/투자,https://www.youtube.com/watch?v=obfnaxIb3Ao,467798,171
2025-09-17,"미국을 반으로 갈라버린, 인플루언서 암살 사건",국제정세/전쟁,https://www.youtube.com/watch?v=HxgMxB64c2A,764118,172
2025-09-16,초유의 한국인 근로자 추방사태,국제정세/전쟁,https://www.youtube.com/watch?v=1UjfoI9W4Ss,567106,173
2025-09-15,"코스피 역사상 최고점, 황스피의 시대가 왔다.",경제/금융/투자,https://www.youtube.com/watch?v=hkaCK4wx04E,371227,174
2025-09-12,"위기를 맞은 '포토샵 기업', 어도비",산업/기업/기술,https://www.youtube.com/watch?v=v6FBqlgbWb8,711959,175
2025-09-11,"한국은행 파격제안, '규제 풀고 택시 면허 사서 없애라'",사회/정책,https://www.youtube.com/watch?v=XC4TshNcD3Q,895414,176
2025-09-10,1%가 75%의 갈등을 생산하는 시대,기타/일반,https://www.youtube.com/watch?v=D1Vpnuakp4k,804556,177
2025-09-09,"노란 봉투법' 시행 확정, 무슨 법인가",경제/금융/투자,https://www.youtube.com/watch?v=FM6KRkIsyLc,1726429,178
2025-09-08,"반미 연합 3대장, 전면에 나선 김정은",국제정세/전쟁,https://www.youtube.com/watch?v=bBVi7AWly8k,710439,179
2025-09-07,물 위를 날아다니는 소금쟁이의 비밀,기타/일반,https://www.youtube.com/watch?v=opqK40RL0UA,438860,180
2025-09-06,그런 방송 아닙니다.,채널/인터뷰/특집,https://www.youtube.com/watch?v=ky_GaLYtlXo,506751,181
2025-09-06,세상에 공짜 점심은 없다.,사회/정책,https://www.youtube.com/watch?v=SZl_BTvvRQU,889346,182
2025-09-05,인도네시아에 나부끼는 밀집모자 해적단 깃발,사회/정책,https://www.youtube.com/watch?v=ergqdZ0IQ3M,418461,183
2025-09-04,"연애는 실종, 결혼은 호황?",문화/콘텐츠/생활,https://www.youtube.com/watch?v=HHu3yMkDfhs,571663,184
2025-09-03,"나스닥을 떨게한, 중국 반도체 독립",산업/기업/기술,https://www.youtube.com/watch?v=0V64Mnq9rE0,516444,185
2025-09-02,관세 긴장 속에 한미 정상회담 개최,국제정세/전쟁,https://www.youtube.com/watch?v=LHq5ruydfDI,518827,186
2025-09-01,왜 빵을 만들었나,문화/콘텐츠/생활,https://www.youtube.com/watch?v=mjYGMN9jhjE,1108635,187
2025-08-29,"배 만들고, 탱크 만들고, 원전까지 다 만들어주는 나라",산업/기업/기술,https://www.youtube.com/watch?v=4fN9GnUb1Lw,491423,188
2025-08-28,"급증하는 전력 수요, 호황을 맞은 전력산업",경제/금융/투자,https://www.youtube.com/watch?v=0CvY3MqzZ9g,609987,189
2025-08-27,"소득은 높지만, 부자가 될 수는 없다.",사회/정책,https://www.youtube.com/watch?v=iihuaYmq0To,1413058,190
2025-08-26,"미국- 우크라 2차 정상회담, 이번에는 달랐다?",국제정세/전쟁,https://www.youtube.com/watch?v=aw_n-9O9qgs,373754,191
2025-08-25,"금리 인하'를 예고한, 잭슨홀 파월 연설 결과",경제/금융/투자,https://www.youtube.com/watch?v=vnO7ZKJXGtQ,576599,192
2025-08-22,"""신붓감 찾습니다"", 급락하는 중국 혼인율",국제정세/전쟁,https://www.youtube.com/watch?v=NYs3EYkhff0,708172,193
2025-08-21,관세와 가뭄으로 미국 소고기 가격 사상 최고 기록,국제정세/전쟁,https://www.youtube.com/watch?v=QSboAyL_PIo,624264,194
2025-08-20,"지방 부동산 부양책, K-별장 세컨드 홈 확대",경제/금융/투자,https://www.youtube.com/watch?v=g8ilAKu4g-U,498289,195
2025-08-19,현대차 주가는 언제쯤 오를까,경제/금융/투자,https://www.youtube.com/watch?v=uEODkzZzQbk,487185,196
