row_no,title,link,made,broadcast,reason,risk
2,뇌 없는 인간 클론: R3 바이오의 충격적 발표,https://www.benews.co.kr/news/482009,X,,,[]
3,신현송 한은 총재 후보자 재산 82.4억…가족은 모두 외국 국적,https://n.news.naver.com/article/015/0005270955?sid=101,X,,,[]
4,"너도나도 ""대마 재배할래"" 눈독…109조짜리 시장에 '그린러시'",https://www.joongang.co.kr/article/25372228,O,O,대마초 주제라서 활용 가능성이 낮을 것이라고 생각했는데 의외로 사용했다,[]
5,높은 회사채 금리와 정부의 중복상장 규제에 증자로 눈돌리는 기업들,https://www.hankyung.com/article/2026040598301#_enliple,O,X,중복상장 규제 + 회사채 금리 상승세에 유상증자로 눈을 돌린다는 내용이었는데 한화솔루션이라는 실제 사례를 너무 강하게 어필했는지 사용하지 않았다,[]
6,"UAE, 한국산 KF-21 도입 굳혔나…프랑스 차세대 라팔 전투기 구매 철회",https://www.theguru.co.kr/news/article.html?no=100161,X,,,[]
7,"크래프톤에 물린 국민연금, 결국 '손절'…최대 1000억 손실 예상",https://www.news1.kr/it-science/game-review/6125002#_enliple,X,,,[]
8,"게임, SNS에 이어 새로운 타겟이 된 숏츠…숏츠는 질병인가",https://www.youtube.com/shorts/-ebfEldqXXY,O,X,김성회와의 썰을 풀 수 있는 주제였지만 패턴이 너무 뻔했는지 사용하지 않았다,[]
9,영국에서는 드론이 마치 ‘우버이츠’처럼 교도소 안으로 금지 물품을 실어 나르고 있다,https://www.nytimes.com/2026/04/01/world/europe/uk-prisons-contraband-drones.html,X,,,[]
10,‘트럼프 측근’으로 불리는 100% 승률 지갑이 1억900만 달러 규모 숏포지션 개설… 암호화폐 시장 또 급락하나?,https://coinpedia.org/news/trumps-insider-with-100-win-rate-opens-109m-short-is-crypto-market-crashing-again/,X,,,[]
11,알카트라즈 교도소 복원,https://www.newsis.com/view/NISX20260404_0003577725,O,X,"오랜만에 이색 주제 소개가 될 수 있을 것이라고 생각했는데 지나치게 ""서브급""이었는지 사용하지 않았다",[]
12,"브랜드들, ‘AI 미사용’ 문구로 차별화… AI 슬롭 범람 속 존재감 확보",https://www.wsj.com/cmo-today/brands-adopt-no-ai-disclaimers-to-stand-out-amid-the-slop-a92352af,O,X,"AI ""확산 속 대비""되는 행동 맥락으로 전환하기 좋은 기사라 생각. 6월부터 뉴욕주 광고 AI 표기제 도입 예정이라 차후 활용 가능성도 있음.",[]
13,표 의식에 멈춘 새벽배송…지선 앞두고 대형마트 규제 논의 또 ‘제자리’,,X,,,[]
14,중국 돼지 아파트,,O,O,"슈카의 주요 래퍼토리인 ""농업의 기업화, 효율화""에 최적화된 주제였고 실제로 사용했다",[]
15,온리팬스를 팔기 위한 경쟁의 내부,https://www.forbes.com/sites/iainmartin/2026/03/26/inside-the-race-to-sell-onlyfans/,X,,"소유주 사망, 기업 매각, 결제 리스크 등 폭넓게 다룬 기사. 무엇보다 구독자들이 좋아하는 소재.",[]
16,"""김정은 욕 해봐"" 북한 IT 요원 색출법, 면접서 통했다",https://www.youtube.com/watch?v=cRcU_aonV9M,X,,북한 IT 노동자 관련 웃음용 소재. 과거 만든 자료도 있어 재활용 가능.,[]
17,"인니·UAE도 'KF-21 찜했다'…한국항공우주, 23만원 목표",,X,,,[]
18,"일부 WTO 회원국들, 전자상거래에 관세를 부과하지 않기로 합의",https://www.reuters.com/world/asia-pacific/group-wto-states-agrees-not-impose-e-commerce-duties-2026-04-02,O,X,"""인터넷 무관세"" 합의 연장이 불발. 슈카월드도 관세 품목 지정? 한 번 파보면 재밌을 듯해서 제작 예정",[]
19,머스크 “전세계 AI칩 생산량의 50배 ‘테라팹’ 짓겠다”...업계 “비현실적”,,X,,,[]
20,네이버 '연관 검색어' 서비스 20여년만에 종료,https://www.yna.co.kr/view/AKR20260407142400017,X,,"""건강한 담론 형성"" + ""옛날 이야기"" 모두 슈카의 취향. 다만 스토리라인이 쉽게 떠오르진 않음.",[]
21,"베트남 럼 서기장, 국가주석도 겸직…'시진핑급 막강 권한'(종합)",https://www.yna.co.kr/view/AKR20260407084951084,X,,"베트남판 ""스트롱맨"". 겸직 전망 자체는 오래 전부터 제시. 베트남 주제 쿨타임이 아직 안 돌아서 일단 킵",[]
22,"이제 모든 회사는 미디어 회사이고, 모든 사장은 스타가 됐다",https://www.economist.com/business/2026/04/08/every-company-is-now-a-media-company-and-every-boss-a-star,O,X,"모든 사장이 ""이야기꾼""이 되는, 이거 완전 슈사장?",[]
23,대전 오월드 늑대 탈출사고,,O,X,,[]
24,아시아 Top20 갑부 가문,https://www.bloomberg.com/features/2026-asia-richest-families,X,,,[]
25,"HD현대重, 세계 첫 암모니아추진선 건조…""친환경선박 시장선도""",,,,,[]
26,한국형 전투기 KF-21 양산 1호기 출고,,,,,[]
27,"헌터 바이든, 트럼프 자녀들에게 미국에서 철장 싸움 도전",,,,,[]
28,"한국 쿠팡, 작년 매출 45조원대·영업이익 2조3천억원 육박",,,,,[]
